Date,crypto1,crypto2,zscore,signal,status,buy price,sell price,mtm,pnl,Cointegration test
2018-12-23,0.04423,0.002542,2.4610916379872068,,,,,,0,No
2018-12-24,0.045716,0.00254,2.097161457651011,,,,,,0,No
2018-12-25,0.041511,0.002404,1.25785378651296,,,,,,0,No
2018-12-26,0.041198,0.002474,0.7497752754433505,,,,,,0,No
2018-12-27,0.036944,0.002364,0.11861092586830349,,,,,,0,No
2018-12-28,0.041862,0.002434,0.7926271597511896,,,,,,0,No
2018-12-29,0.041508,0.002403,0.6844687542273014,,,,,,0,No
2018-12-30,0.04328,0.002367,1.537606952125221,,,,,,0,No
2018-12-31,0.041063,0.002346,0.5950298244700534,,,,,,0,No
2019-01-01,0.042547,0.002392,0.8332018839181184,,,,,,0,No
2019-01-02,0.045258,0.002407,2.0185372286395427,,,,,,0,No
2019-01-03,0.042682,0.00236,0.7690992316465833,,,,,,0,No
2019-01-04,0.043812,0.002315,1.6769206876882534,,,,,,0,No
2019-01-05,0.044701,0.002319,1.6718860884717972,,,,,,0,No
2019-01-06,0.049261,0.002328,2.9500390921993134,,,,,,0,No
2019-01-07,0.047996,0.002285,2.225812593793327,,,,,,0,No
2019-01-08,0.048525,0.002276,1.9105862367560649,,,,,,0,No
2019-01-09,0.052169,0.002266,2.6053318331054576,,,,,,0,No
2019-01-10,0.044529,0.002132,0.7230321891163602,,,,,,0,No
2019-01-11,0.044147,0.002129,0.47678885011994143,,,,,,0,No
2019-01-12,0.043704,0.002148,0.052179152502062114,,,,,,0,Yes
2019-01-13,0.040241,0.002094,-0.9361382106291591,,,,,,0,No
2019-01-14,0.044059,0.002183,-0.32780969378356534,,,,,,0,No
2019-01-15,0.04281,0.002111,-0.40460167599543245,,,,,,0,No
2019-01-16,0.044777,0.002138,0.1605235824196781,,,,,,0,No
2019-01-17,0.045318,0.002094,0.930381033224624,,,,,,0,No
2019-01-18,0.044316,0.002106,0.21659605570132945,,,,,,0,No
2019-01-19,0.04575,0.002153,0.46446213468444014,,,,,,0,No
2019-01-20,0.043477,0.002119,-0.19190489563769672,,,,,,0,No
2019-01-21,0.042937,0.002101,-0.26299375195662666,,,,,,0,No
2019-01-22,0.043578,0.002057,0.9309441525743297,,,,,,0,No
2019-01-23,0.0429,0.002043,0.5055779885834489,,,,,,0,No
2019-01-24,0.043027,0.002039,0.5732373343734423,,,,,,0,No
2019-01-25,0.042691,0.002118,-2.0105654985410895,,,,,,0,No
2019-01-26,0.042649,0.002083,-1.085249463987326,,,,,,0,No
2019-01-27,0.041168,0.002027,-1.3102884465183713,,,,,,0,No
2019-01-28,0.038772,0.001944,-2.1136204900378983,,,,,,0,No
2019-01-29,0.038251,0.001927,-1.821718779159385,,,,,,0,No
2019-01-30,0.039656,0.001961,-0.6144884819980485,,,,,,0,No
2019-01-31,0.038374,0.001925,-1.1910524640856042,,,,,,0,No
2019-02-01,0.038678,0.001916,-0.47568610729103294,,,,,,0,No
2019-02-02,0.039317,0.001936,-0.013749765359388497,,,,,,0,No
2019-02-03,0.038029,0.001904,-0.8190663458287682,,,,,,0,No
2019-02-04,0.037857,0.001896,-0.8785725847817786,,,,,,0,No
2019-02-05,0.037896,0.001888,-0.22238222460942797,,,,,,0,No
2019-02-06,0.036663,0.001866,-2.723192879187793,,,,,,0,No
2019-02-07,0.036396,0.001845,-1.5461979180802852,,,,,,0,No
2019-02-08,0.040751,0.001956,4.087316826272305,,,,,,0,No
2019-02-09,0.041058,0.001949,3.038506900619598,,,,,,0,No
